"gid","est","nombre","tipo_red","intercambio","rio","municipio","concejo","lugar","frecuencia","circuito","coord_x","coord_y","zona","h5000","h25000","pk","cota","observaciones","foto","piedefoto","croquis","mapa","cuenca","localizacion","acuifero","existencia","bioticos","coincidencia_ib","codigo_ib","codigo_ib_2","codigo_tipo","tipo_masa","codigo_masa","nombre_masa","latitude","longitude","geom"
71,"11906000","Artesiaga en Irurita","Operativa",,"ARTESIAGA","BAZTAN","BAZTAN","Puente anterior a desembocadura","Trimestral","6","617455","4777030",,,,,"180","Se incluye por poner un punto en una masa de agua sin punto de muestreo en 2011. El en mismo puente esta la presa que deriva agua para la piscifactoría de Oharriz.","11906000f.jpg","Vista del puente","11906000c.jpg","11906000m.jpg","NORTE","Se accuede desde del cruce de la N-121-B hacia Oharriz,  siguiendo por un camino hacia aguas arriba de la regata Artesiaga.",,"2012-Actualidad","NO","No hay punto de índices bióticos.",,,"R-T23","RÍOS VASCO-PIRENAICOS","ES002MAR002360","Río Artesiaga","43.13690222633158","-1.555781697560038","0101000020E664000000000000DED722410000008011395241"
70,"11907000","Tximista en Etxalar","Operativa",,"TXIMISTA","ETXALAR","ETXALAR","Puente aguas arriba Etxalar","Trimestral","6","610768","4787929",,,,,"96","Se incluye por poner un punto en una masa de agua sin punto de muestreo en 2011","11907000f.jpg","Vista del puente","11907000c.jpg","11907000m.jpg","NORTE","Se llega al pueblo de Etxalar, se atraviesa por la carretera y nada más pasar el cuartel de la Guardi Civil se llega al puente de toma de muestra",,"2012-Actualidad","NO","No hay punto de índices bióticos",,,"R-T23","RÍOS VASCO-PIRENAICOS","ES008MAR002401","Río Tximista II","43.23602583746435","-1.635797535042455","0101000020E664000000000000A0A3224100000040B6435241"
75,"11908000","Marín en Oronoz-Mugairi","Operativa",,"MARÍN","BAZTAN","BAZTAN","Puente anterior a desembocadura","Trimestral","6","612918","4776999",,,,,"145","Antes de construir le estación de aforo se tomaban en el  puente anterior a la desembocadura en el Baztán y aguas abajo de la piscifactoría. Se incluye de nuevo este punto en 2012 que incluye tanto la regata Marín como Cebería","11908000f.jpg","Vista del puente","11908000c.jpg","11908000m.jpg","NORTE","Justo junto al puente sobre el baztan que da entrada a Bertiz está en la margen izquierda del Baztán otro puente de la antigua N-121 en Oronoz que curza la regata marín justo antes de su desembocadura en el Baztán.",,"1971- 1998 y 2012-Actualidad","NO","No hay punto de índices bióticos",,,"R-T23","RÍOS VASCO-PIRENAICOS","ES002MAR002370","Río Marín y Cevería","43.1373136221392","-1.611558273103742","0101000020E6640000000000006CB42241000000C009395241"
43,"12101000","Urumea en Goizueta","Operativa",,"URUMEA","GOIZUETA","GOIZUETA","Km 34,5 crta. Hernani,  entrada al camping.","Mensual","6","592955","4783372","IX.5","64-78","64-IV","10","136","Durante bastante tiempo y hasta enero de 2006 se estuvo tomando en un puente 1,5 km (X,Y: 592951, 4782500) aguas arriba que da acceso a unos bungalows (ver croquis). Se vuelve al punto ""oficial"" ya que coincide con el de índices bióticos.","fgoizueta.jpg","Puente de acceso a bungalows","Urumea en Goizueta.jpg","goizueta.jpg","NORTE","Saliendo de Goizueta por el norte hacia Guipúzcoa, a la altura del km 34,5 hay un puente a mano izquierda que cruza a la otra margen para entrar en un parking. No confundir con el del km. 33 que da acceso a los bungalows.",,"1975-Actualidad","RELATIVA","El punto de bióticos esta aguas arriba (1,5km).","URUMEA_014782","NA-105","R-T32","PEQUEÑOS EJES CANTABRO-ATLÁNTICOS CALCÁREOS","ES018MAR002492","Río Urumea I","43.19740508414005","-1.855900169584995","0101000020E6640000000000007618224100000000433F5241"
59,"12102000","Urumea en cabecera","Operativa",,"URUMEA","LEITZA","LEITZA","Puente bajo C.H. de Zumarreta","Trimestral","6","593902","4777075",,,,,"230","Se incluye por poner un punto en una masa de agua sin punto de muestreo en 2011","12102000f.jpg","Vista de la Central desde el puente","12102000c.jpg","12102000m.jpg","NORTE","Se toma carretera hacia Goizueta (NA4150) y después de pasar el km 9, un poco más adelante, a mano derecha, aparece un puente de piedra. Justo Aguas arriba del puente se encuentra la central hidroeléctrica Zumarresta",,"2012-Actualidad","NO","No hay punto de índices bióticos",,,"R-T23","RÍOS VASCO-PIRENAICOS","ES016MAR002440","Río Ollin","43.14059611097438","-1.845315245747034","0101000020E664000000000000DC1F2241000000C01C395241"
67,"12103000","Urumea en Arano","Operativa",,"URUMEA","ARANO","ARANO","Puente colgante","Trimestral","6","588997","4784953",,,,,"58","Se incluye por poner un punto en una masa de agua sin punto de muestreo en 2011","12103000f.jpg","Vista del puente","12103000c.jpg","12103000m.jpg","NORTE","Se toma carretera NA 4150 de Goizueta a Hernani y, entre el km 27-28 aparece a mano derecha un puente colgante sobre el río que es el punto de toma",,"2012-Actualidad","NO","No hay punto de índices bióticos",,,"R-T32","PEQUEÑOS EJES CANTABRO-ATLÁNTICOS CALCÁREOS","ES018MAR002491","Río Urumea II","43.21211577649358","-1.904351986429473","0101000020E6640000000000008AF9214100000040CE405241"
63,"13101000","Araxes en Atallu","Operativa",,"ARAXES","ARRAITZ","ATALLU","Muga Guipuzcoa","Trimestral","1","580442","4769402","IX.6","89-55","89-IV","10","165","Existe un puente que comunica los merenderos de las dos márgenes del río donde se puede tomar la muestra.","13101000.jpg","El río Araxes en la zona del merendero","Araxes en Atallo.jpg","matallo.jpg","NORTE","Por la carretera N-130, de Betelu a Tolosa se sale de Navarra, y poco antes de llegar a la frontera (muga) con Guipúzcoa se llega a una oreja que realiza un giro a la izquierda a la zona del merendero, donde se toma la muestra.",,"1975-Actualidad","RELATIVA","El punto de bióticos está bastante aguas abajo pasando Elbete (4 km), entre medias hay una EDAR","ARAXES_004291","NA-106","R-T23","RÍOS VASCO-PIRENAICOS","ES023MAR002601","Río Araxes I","43.07306217283684","-2.011914565082781","0101000020E664000000000000B4B62141000000809E315241"
37,"13201000","Leizarán en Leitza","Operativa",,"LEITZARAN","LEITZA","LEITZA","Puente viejo","Mensual","6","588005","4769518","IX.6","89-57","89-IV","2","478",,"Leiza.jpg","Puente antiguo","Leizarán en Leiza.jpg","mleiza.jpg","NORTE","Hay que atravesar Leiza, viniendo desde la Autovía, y justo a la la salida del pueblo hay un cartel que dice ""Al barrio Erasote"".",,"1975-Actualidad","NO","No hay punto de índices bióticos",,,"R-T23","RÍOS VASCO-PIRENAICOS","ES027MAR002630","Río Leizarán I","43.07326682273498","-1.919013830004739","0101000020E664000000000000CAF1214100000080BB315241"
128,"13202000","Leizarán en Urto","Operativa",,"LEITZARAN","LEITZA","URTO","Muga","Trimestral","6","585655","4772206","IX.6","89-46","89-II","7.9","416",,"Urto.jpg","Puente justo en frontera (cartel de Navarra al fondo)","Leizarán en Urto.jpg","murto.jpg","EBRO","Se sale dela Autovía A-15 en la salida de Leiza, y en el cruce se toma la dirección Berastegui, y el primer puente que aparece es la muga con Guipúzcoa, que es donde se toma la muestra.",,"1999-Actualidad","EXACTA","Coincide con punto de índices bióticos.","LEITZARAN_002302","NA-104","R-T23","RÍOS VASCO-PIRENAICOS","ES027MAR002630","Río Leizarán I","43.09773706070718","-1.947460304246232","0101000020E6640000000000006EDF2141000000805B345241"
57,"14101000","Ugarana en Urdax","Operativa",,"UGARANA","URDAZUBI/URDAX","URDAZUBI/URDAX","Puente aguas abajo Urdax","Trimestral","6","621338","4792247",,,,,"84","Se incluye por poner un punto en una masa de agua sin punto de muestreo en 2011","14101000f.jpg","Vista del puente","14101000c.jpg","14101000m.jpg","NORTE","Se toma la carretera N 121B, al bajar el puerto de Otsondo sale un cruce a mano izquierda, tomar la carretera NA 4402, antes de entrar al pueblo de Urdax aparece un puente con el letrero de río Ugarana, ahí se toma la muestra",,"2012-Actualidad","EXACTA","Coincide con punto de índices bióticos.","OLABIDEA_002379","NA-107","R-T23","RÍOS VASCO-PIRENAICOS","ES001MAR002320","Río Olavidea","43.27326860807144","-1.504709606185242","0101000020E66400000000000034F62241000000C0ED475241"
100,"91101000","Ega en Marañón","Operativa","CHE","EGA","MARAÑÓN","MARAÑÓN","Estación de aforos de la CHE","Trimestral","4","545159","4719630","III.1","171-I","171-22","6","630","En verano suele bajar poco caudal y es mejor coger directamente del cauce. El acceso es fácil.","Marañon.jpg","Estación de aforos de la CHE","Ega en Marañón.jpg","mmarañon.jpg","EBRO","Saliendo de Marañón por la NA-7430 hacia Álava, la estación de aforos se encuentra a la altura del km 7,5 aproximadamente.",,"1975-Actualidad","NO","No hay punto de índices bióticos.",,,"R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF279","Río Ega I desde su nacimiento hasta el río Ega II (incluye ríos Ega y Bajauri)","42.6277914185072","-2.449271879113022","0101000020E6640000000000000EA320410000008003015241"
102,"91102000","Ega en Zubielqui","Operativa","CHE","EGA","ALLÍN","ZUBIELQUI","Puente viejo ferrocarril","Mensual","4","577088","4725778","III.1","140-84","140-III","41","435",,"Zubielqui.jpg","Puente del antiguo ffcc y túnel abandonado","Ega en Zubielqui.jpg","mzubielqui.jpg","EBRO","En Zubielqui se toma la dirección de Arbeiza, y nada más girar se toma un camino a mano izquierda que conduce a un puente del antiguo ferrocarril vasco-navarro.",,"1971-Actualidad","RELATIVA","El punto de bióticos esta aguas arriba (5 km), en el molino de Labeaga.","EGA_068827","NA-47","R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF1742","Río Ega I desde el río Istora hasta el río Urederra","42.68061731634726","-2.05909403149042","0101000020E664000000000000809C21410000008004075241"
106,"91103000","Ega en Estella (Estación de aforos)","Operativa","CHE","EGA","ESTELLA","ESTELLA","Estación de aforos CHE","Mensual","4","578989","4724771","III.3","140-84","140-III","46","420","Estación de aforos de la CHE 9071: Ega en Estella. De junio de 2003 a mayo de 2004 se tomó en el siguiente puente aguas abajo en Estella por obras en la Estación de Aforo.","Estella2-CHE.jpg","Vista desde el puente hacia aguas abajo","Ega en Estella(CHE).jpg","mestella.jpg","EBRO","Se accede desde dentro de Estella. Al puente donde está la estación de aforos conduce la calle en la que está la estación de autobuses.",,"1975-Actualidad","NO","No hay punto de índices bióticos.",,,"R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF283","Río Ega I desde el río Urederra hasta el río Iranzu","42.6713570346407","-2.036034496927784","0101000020E6640000000000005AAB2141000000C008065241"
10,"91104000","Ega en Allo","Operativa","CHE","EGA","ALLO","ALLO","Aguas arriba papelera","Mensual","4","584003","4712791","III.3","172-56","172-IV","60","464",,"Allo.jpg","Estación de tratamiento de la fábrica","Ega en Allo.jpg","mallo.jpg","EBRO","Desde el pueblo de Allo, a mano derecha viniendo de Estella, sale una carretera a la papelera Sarrió Tisú , S.A. En la última curva  a la derecha, antes de llegar a la fábrica, arranca un camino que desemboca en la estación de tratamiento antes de la pap",,"1975-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_039884","NA-50","R-T15","EJES MEDITERRÁNEO-CONTINENTALES POCO MINERALIZADOS","ES091MSPF414","Río Ega I desde la estación de medidas en la cola del embalse de Oteiza -en proyecto- hasta su desembocadura en río Ebro","42.56295485393602","-1.97662195501946","0101000020E66400000000000086D22141000000C055FA5141"
9,"91105000","Ega en Lerín","Operativa","CHE","EGA","LERIN","LERIN","Puente viejo","Mensual","4","583829","4704290","III.3","205-15","205-II","70","330","Las coordenadas que había en la base de datos antigua daban XY:583.800;4.702.500. Es decir, más de 4 km más abajo. En medio se encuentra una depuradora.","Lerin.jpg","Vista desde el puente viejo hacia aguas abajo","Ega en Lerín.jpg","mlerin.jpg","EBRO","Viniendo de Allo por la NA-122, se toma el desvío a Lerín, y se trata del puente viejo que salva el Ega. En verano y si baja poco agua a veces hay que coger del cuace, bajando hasta el mismo.",,"1971-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_027297","NA-51","R-T15","EJES MEDITERRÁNEO-CONTINENTALES POCO MINERALIZADOS","ES091MSPF414","Río Ega I desde la estación de medidas en la cola del embalse de Oteiza -en proyecto- hasta su desembocadura en río Ebro","42.48642728266426","-1.979987529245683","0101000020E6640000000000002AD121410000008008F25141"
11,"91106000","Ega en San Adrián","Operativa","CHE","EGA","SAN ADRIÁN","SAN ADRIÁN","Puente viejo","Mensual","4","588622","4687704","III.3","205-87","205-IV","91","292",,"San Adrian.jpg","Vista desde el puente viejo hacia aguas arriba","Ega en San Adrián.jpg","msanadrian.jpg","EBRO","En San Adrián se toma la carretera hacia Peralta y Azagra. De los dos puentes que atraviesan el Ega en paralelo, se toma en el antiguo.",,"1971-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_001354","NA-53","R-T15","EJES MEDITERRÁNEO-CONTINENTALES POCO MINERALIZADOS","ES091MSPF414","Río Ega I desde la estación de medidas en la cola del embalse de Oteiza -en proyecto- hasta su desembocadura en río Ebro","42.336546053869995","-1.924232610487072","0101000020E6640000000000009CF6214100000000D6E15141"
97,"91107000","Ega en Zuñiga","Operativa","CHE","EGA","ZÚÑIGA","ZÚÑIGA","Estación de aforos del GN AN 311: Arquijas","Trimestral","4","558601","4725747","III.1","139-76","139-IV","21","518","Antes se tomaba en el puente, X:558.501,Y:4.726.090","Arquijas.jpg","Estación de aforos AN 311","Ega en Zúñiga.jpg","marquijas.jpg","EBRO","Por la carretera NA-132A dirección Vitoria, se pasa por debajo de un puente elevado del ferrocarril, y poco después se sale de la garganta. Al abrirse el paisaje aparece el Humilladero de Nuestra Señora de Arquijas, y justo antes se encuentra el camino d",,"1990-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_089831","NA-46","R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF1742","Río Ega I desde el río Istora hasta el río Urederra","42.681969338999565","-2.284722488291375","0101000020E664000000000000120C2141000000C0FC065241"
26,"91108000","Ega en Estella (Presa Alcoholera)","Operativa","CHE","EGA","ESTELLA","ESTELLA","Presa de la Alcoholera","Trimestral","4","580661","4723977","III.3","172-15","172-II","48.9","410",,"Estella2-presa alcoholera.jpg","Vista desde el puente en la presa de la Alcoholera","Ega en Estella (Alcoholera).jpg","malcoholera.jpg","EBRO","Saliendo de Estella hacia Pamplona, a la altura del Bar San Cristóbal, se toma un camino a mano derecha, que conduce a la pasarela aguas abajo de la Presa de la Alcoholera.",,"1999-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_056459","NA-48","R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF283","Río Ega I desde el río Urederra hasta el río Iranzu","42.664034119081805","-2.015745465767706","0101000020E6640000000000006AB821410000004042055241"
25,"91109000","Ega en Villatuerta","Operativa","CHE","EGA","VILLATUERTA","VILLATUERTA","Aguas abajo EDAR","Mensual","4","581373","4721799","III.3","172-25","172-II","52.9","402","Se toma aguas abajo de la EDAR","Noveleta.jpg","Puente destruido en una avenida del río Ega","Ega en Noveleta.jpg","mvillatuerta.jpg","EBRO","Desde Noveleta se sigue un camino que pasa por debajo de la variante de Estella. El camino termina, y se sigue un sendero que acaba en un puente hundido.",,"1999-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_053458","NA-49","R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF283","Río Ega I desde el río Urederra hasta el río Iranzu","42.644347819684306","-2.007370612494399","0101000020E664000000000000FABD2141000000C021035241"
86,"91110000","Ega en Andosilla","Operativa","CHE","EGA","ANDOSILLA","ANDOSILLA","Estación de aforos de la CHE","Mensual","4","586639","4691786","III.3","205-76","205-IV","80.9","300","Estación de aforos 9003: Ega en Andosilla","Andosilla.jpg",,"Ega en Andosilla.jpg","mandosilla.jpg","EBRO","Se toma la muestra en el único puente dentro de Andosilla sobre el Ega.",,"1999-Actualidad","EXACTA","Coincide con punto de índices bióticos.","EGA_007996","NA-52","R-T15","EJES MEDITERRÁNEO-CONTINENTALES POCO MINERALIZADOS","ES091MSPF414","Río Ega I desde la estación de medidas en la cola del embalse de Oteiza -en proyecto- hasta su desembocadura en río Ebro","42.3735260713593","-1.947686826461468","0101000020E6640000000000001EE7214100000080D2E55141"
54,"91201000","Urederra en Allín","Operativa","CHE","UREDERRA","ALLÍN","ALLÍN","Central Eraul","Mensual","4","577862","4727416","III.2","140-74","140-III","14","434","Importante no tomar agua remansada.","Allin.jpg","Toma al borde del río Urederra","Urederra en Allín.jpg","mallin.jpg","EBRO","En la carretera NA-718: Estella a Olazagutía, a unos 100 m. antes de llegar a la desviación hacia Eraul se encuentra la central donde se toma la muestra.",,"1971-Actualidad","EXACTA","Coincide con punto de índices bióticos.","UREDERRA_001289","NA-44","R-T12","RÍOS DE MONTAÑA MEDITERRÁNEA CALCÁREA","ES091MSPF282","Río Urederra desde la estación de aforos número 70 en la Central de Eraul hasta su desembocadura en el río Ega I (inicio de la canalización de Estella)","42.695288444471025","-2.049423269721165","0101000020E6640000000000008CA22141000000009E085241"
35,"91202000","Urederra en Baquedano","Operativa","CHE","UREDERRA","AMÉSCOA BAJA","BAQUEDANO","Puente carretera Baquedano","Trimestral","4","571444","4735673","III.2","140-42","140-I","2.9","510",,"Baquedano.jpg","Panorámica del Urederra desde el puente de toma","Urederra en Baquedano.jpg","mbaquedano.jpg","EBRO","Se trata del puente sobre el Urederra de la NA-7186 entre Baríndano y Baquedano",,"1999-Actualidad","EXACTA","Coincide con punto de índices bióticos.","UREDERRA_017610","NA-40","R-T26","RÍOS DE MONTAÑA HÚMEDA CALCÁREA","ES091MSPF508","Río Urederra desde su nacimiento hasta la estación de aforos número 70 en la Central de Eraul (incluye río Contrasta)","42.77026172888731","-2.126725484875398","0101000020E6640000000000006870214100000040AE105241"
117,"91203000","Urederra en Artavia","Operativa","CHE","UREDERRA","ALLÍN","ARTAVIA","Puente carretera","Trimestral","4","575243","4731331","III.2","140-53","140-III","3.9","460",,"Artavia.jpg","Vista desde el puente hacia aguas abajo","Urederra en Artavia.jpg","martavia.jpg","EBRO","La muestra se coge en el puente sobre el río que se encuentra antes de llegar al pueblo de Artavia, en la NA-7136.",,"1999-Actualidad","RELATIVA","El punto de bióticos está aguas abajo (3,3km) en el pueblo de Larrion","UREDERRA_005019","NA-43","R-T26","RÍOS DE MONTAÑA HÚMEDA CALCÁREA","ES091MSPF508","Río Urederra desde su nacimiento hasta la estación de aforos número 70 en la Central de Eraul (incluye río Contrasta)","42.73080147272834","-2.080873125083911","0101000020E664000000000000168E2141000000C0700C5241"
